ORDER_DATE,SHIP_DATE,SHIP_MODE,CUSTOMER_ID,SEGMENT,COUNTRY,CITY,STATE,REGION,PRODUCT_ID,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PROFIT,NET_SALES,PROFIT_SCALED,NET_SALES_SCALED
2019-01-03,2019-01-07,STANDARD CLASS,DP-13000,CONSUMER,USA,HOUSTON,TX,CENTRAL,OFF-PA-10000174,OFFICE SUPPLIES,PAPER,"MESSAGE BOOK, WIREBOUND, FOUR 5 1/2"" X 4"" FORMS/PG., 200 DUPL. SETS/BOOK",5.5512,26.3168,-0.1151305631752188,-0.2795991956299033
2019-01-04,2019-01-08,STANDARD CLASS,PO-19195,HOME OFFICE,USA,NAPERVILLE,IL,CENTRAL,OFF-LA-10003223,OFFICE SUPPLIES,LABELS,AVERY 508,4.2717,28.281600000000005,-0.12073804879512562,-0.2790364439419799
2019-01-05,2019-01-12,STANDARD CLASS,MB-18085,CONSUMER,USA,PHILADELPHIA,PA,EAST,OFF-AR-10003478,OFFICE SUPPLIES,ART,"AVERY HI-LITER EVERBOLD PEN STYLE FLUORESCENT HIGHLIGHTERS, 4/PACK",4.884,46.88640000000001,-0.11805460725931557,-0.27370771704688757
2019-01-06,2019-01-07,FIRST CLASS,JO-15145,CORPORATE,USA,ATHENS,GA,SOUTH,OFF-AR-10002399,OFFICE SUPPLIES,ART,"DIXON PRANG WATERCOLOR PENCILS, 10-COLOR SET WITH BRUSH",5.2398,38.339999999999996,-0.11649529238353376,-0.2761555494093003
2019-01-06,2019-01-08,SECOND CLASS,LS-17230,CONSUMER,USA,LOS ANGELES,CA,WEST,OFF-PA-10002005,OFFICE SUPPLIES,PAPER,XEROX 225,9.3312,58.32000000000001,-0.0985644860800662,-0.27043294215934627
2019-01-10,2019-01-15,STANDARD CLASS,AJ-10780,CORPORATE,USA,SPRINGFIELD,VA,SOUTH,FUR-FU-10000965,FURNITURE,FURNISHINGS,"HOWARD MILLER 11-1/2"" DIAMETER RIDGEWOOD WALL CLOCK",21.2954,51.94,-0.04613066079386917,-0.27226028121113344
2019-01-13,2019-01-18,STANDARD CLASS,BD-11605,CONSUMER,USA,SAN FRANCISCO,CA,WEST,OFF-AR-10003514,OFFICE SUPPLIES,ART,4009 HIGHLIGHTERS BY SANFORD,6.567,99.5,-0.11067875864790239,-0.2586382991887202
2019-01-16,2019-01-18,SECOND CLASS,DL-13315,CONSUMER,USA,PHILADELPHIA,PA,EAST,OFF-LA-10001074,OFFICE SUPPLIES,LABELS,ROUND SPECIALTY LASER PRINTER LABELS,10.1493,72.1728,-0.09497911368018674,-0.2664652677993781
2019-01-18,2019-01-21,SECOND CLASS,DW-13195,CORPORATE,USA,SPRINGFIELD,OR,WEST,OFF-AP-10000692,OFFICE SUPPLIES,APPLIANCES,FELLOWES MIGHTY 8 COMPACT SURGE PROTECTOR,6.4864,207.56480000000002,-0.11103199299019587,-0.22768672721950922
2019-01-20,2019-01-26,STANDARD CLASS,XP-21865,CONSUMER,USA,WESTLAND,MI,CENTRAL,FUR-FU-10002268,FURNITURE,FURNISHINGS,ULTRA DOOR PUSH PLATE,4.8609,44.19,-0.11815584439711928,-0.27448001125053
2019-01-20,2019-01-25,STANDARD CLASS,MV-17485,CONSUMER,USA,LOS ANGELES,CA,WEST,OFF-PA-10002893,OFFICE SUPPLIES,PAPER,"WIREBOUND SERVICE CALL BOOKS, 5 1/2"" X 4""",9.2928,38.72,-0.09873277638706457,-0.2760467110331751
2019-01-20,2019-01-26,STANDARD CLASS,HL-15040,CONSUMER,USA,JONESBORO,AR,SOUTH,FUR-FU-10003194,FURNITURE,FURNISHINGS,"ELDON EXPRESSIONS DESK ACCESSORY, WOOD PENCIL HOLDER, OAK",11.58,154.4,-0.08870898497647381,-0.24291401800641402
2019-01-21,2019-01-23,SECOND CLASS,TB-21400,CONSUMER,USA,MIAMI,FL,SOUTH,FUR-FU-10001889,FURNITURE,FURNISHINGS,ULTRA DOOR PULL HANDLE,4.1028,60.595200000000006,-0.12147826319231378,-0.2697812867031353
2019-01-23,2019-01-28,STANDARD CLASS,IM-15055,CONSUMER,USA,LAS VEGAS,NV,WEST,OFF-PA-10001804,OFFICE SUPPLIES,PAPER,XEROX 195,19.2384,240.48,-0.055145586874485286,-0.21825926164625153
