ORDER_DATE,SHIP_DATE,SHIP_MODE,CUSTOMER_ID,SEGMENT,COUNTRY,CITY,STATE,REGION,PRODUCT_ID,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PROFIT,NET_SALES
2019-01-03,2019-01-07,STANDARD CLASS,DP-13000,CONSUMER,USA,HOUSTON,TX,CENTRAL,OFF-PA-10000174,OFFICE SUPPLIES,PAPER,"MESSAGE BOOK, WIREBOUND, FOUR 5 1/2"" X 4"" FORMS/PG., 200 DUPL. SETS/BOOK",5.5512,26.3168
2019-01-04,2019-01-08,STANDARD CLASS,PO-19195,HOME OFFICE,USA,NAPERVILLE,IL,CENTRAL,OFF-LA-10003223,OFFICE SUPPLIES,LABELS,AVERY 508,4.2717,28.281600000000005
2019-01-05,2019-01-12,STANDARD CLASS,MB-18085,CONSUMER,USA,PHILADELPHIA,PA,EAST,OFF-AR-10003478,OFFICE SUPPLIES,ART,"AVERY HI-LITER EVERBOLD PEN STYLE FLUORESCENT HIGHLIGHTERS, 4/PACK",4.884,46.88640000000001
2019-01-06,2019-01-10,STANDARD CLASS,ME-17320,HOME OFFICE,USA,HENDERSON,KY,SOUTH,OFF-AR-10001662,OFFICE SUPPLIES,ART,ROGERS HANDHELD BARREL PENCIL SHARPENER,1.4796,10.96
2019-01-06,2019-01-07,FIRST CLASS,JO-15145,CORPORATE,USA,ATHENS,GA,SOUTH,OFF-AR-10002399,OFFICE SUPPLIES,ART,"DIXON PRANG WATERCOLOR PENCILS, 10-COLOR SET WITH BRUSH",5.2398,38.339999999999996
2019-01-06,2019-01-08,SECOND CLASS,LS-17230,CONSUMER,USA,LOS ANGELES,CA,WEST,OFF-PA-10002005,OFFICE SUPPLIES,PAPER,XEROX 225,9.3312,58.32000000000001
2019-01-07,2019-01-12,STANDARD CLASS,VS-21820,CONSUMER,USA,HUNTSVILLE,TX,CENTRAL,FUR-FU-10004864,FURNITURE,FURNISHINGS,"HOWARD MILLER 14-1/2"" DIAMETER CHROME ROUND WALL CLOCK",-53.7096,92.0736
2019-01-09,2019-01-13,STANDARD CLASS,MS-17830,CONSUMER,USA,LAREDO,TX,CENTRAL,OFF-AR-10004078,OFFICE SUPPLIES,ART,NEWELL 312,1.168,14.9504
2019-01-10,2019-01-15,STANDARD CLASS,AJ-10780,CORPORATE,USA,SPRINGFIELD,VA,SOUTH,FUR-FU-10000965,FURNITURE,FURNISHINGS,"HOWARD MILLER 11-1/2"" DIAMETER RIDGEWOOD WALL CLOCK",21.2954,51.94
2019-01-11,2019-01-14,FIRST CLASS,SV-20365,CONSUMER,USA,DOVER,DE,EAST,FUR-FU-10000010,FURNITURE,FURNISHINGS,"DAX VALUE U-CHANNEL DOCUMENT FRAMES, EASEL BACK",3.0814,19.88
2019-01-13,2019-01-15,SECOND CLASS,CS-12250,CORPORATE,USA,BOSSIER CITY,LA,SOUTH,OFF-ST-10000025,OFFICE SUPPLIES,STORAGE,FELLOWES STOR/DRAWER STEEL PLUS STORAGE DRAWERS,34.3548,3435.4800000000005
2019-01-13,2019-01-18,STANDARD CLASS,BD-11605,CONSUMER,USA,SAN FRANCISCO,CA,WEST,OFF-AR-10003514,OFFICE SUPPLIES,ART,4009 HIGHLIGHTERS BY SANFORD,6.567,99.5
2019-01-13,2019-01-18,STANDARD CLASS,MM-17920,CONSUMER,USA,NEWARK,OH,EAST,OFF-BI-10003476,OFFICE SUPPLIES,BINDERS,AVERY METALLIC POLY BINDERS,-2.5212,2.0628
2019-01-13,2019-01-16,SECOND CLASS,ND-18370,CONSUMER,USA,MOUNT PLEASANT,SC,SOUTH,FUR-CH-10000422,FURNITURE,CHAIRS,GLOBAL HIGHBACK LEATHER TILTER IN BURGUNDY,87.3504,3275.6400000000003
2019-01-14,2019-01-15,FIRST CLASS,BS-11590,CORPORATE,USA,PHILADELPHIA,PA,EAST,FUR-BO-10003433,FURNITURE,BOOKCASES,SAUDER CORNERSTONE COLLECTION LIBRARY,-53.2856,123.92
2019-01-15,2019-01-17,FIRST CLASS,EH-13990,CONSUMER,USA,ROSWELL,GA,SOUTH,TEC-AC-10003628,TECHNOLOGY,ACCESSORIES,LOGITECH 910-002974 M325 WIRELESS MOUSE FOR WEB SCROLLING,65.978,749.75
2019-01-16,2019-01-18,SECOND CLASS,DL-13315,CONSUMER,USA,PHILADELPHIA,PA,EAST,OFF-LA-10001074,OFFICE SUPPLIES,LABELS,ROUND SPECIALTY LASER PRINTER LABELS,10.1493,72.1728
2019-01-18,2019-01-21,SECOND CLASS,DW-13195,CORPORATE,USA,SPRINGFIELD,OR,WEST,OFF-AP-10000692,OFFICE SUPPLIES,APPLIANCES,FELLOWES MIGHTY 8 COMPACT SURGE PROTECTOR,6.4864,207.56480000000002
2019-01-19,2019-01-20,FIRST CLASS,TS-21340,CONSUMER,USA,SCOTTSDALE,AZ,WEST,OFF-BI-10003676,OFFICE SUPPLIES,BINDERS,"GBC STANDARD RECYCLED REPORT COVERS, CLEAR PLASTIC SHEETS",-23.716,97.02000000000002
2019-01-20,2019-01-26,STANDARD CLASS,XP-21865,CONSUMER,USA,WESTLAND,MI,CENTRAL,FUR-FU-10002268,FURNITURE,FURNISHINGS,ULTRA DOOR PUSH PLATE,4.8609,44.19
2019-01-20,2019-01-25,STANDARD CLASS,MV-17485,CONSUMER,USA,LOS ANGELES,CA,WEST,OFF-PA-10002893,OFFICE SUPPLIES,PAPER,"WIREBOUND SERVICE CALL BOOKS, 5 1/2"" X 4""",9.2928,38.72
2019-01-20,2019-01-26,STANDARD CLASS,MM-18280,CORPORATE,USA,SMYRNA,TN,SOUTH,OFF-BI-10003091,OFFICE SUPPLIES,BINDERS,GBC DOCUBIND TL200 MANUAL BINDING MACHINE,-51.5154,20.158200000000004
2019-01-20,2019-01-26,STANDARD CLASS,HL-15040,CONSUMER,USA,JONESBORO,AR,SOUTH,FUR-FU-10003194,FURNITURE,FURNISHINGS,"ELDON EXPRESSIONS DESK ACCESSORY, WOOD PENCIL HOLDER, OAK",11.58,154.4
2019-01-21,2019-01-23,SECOND CLASS,TB-21400,CONSUMER,USA,MIAMI,FL,SOUTH,FUR-FU-10001889,FURNITURE,FURNISHINGS,ULTRA DOOR PULL HANDLE,4.1028,60.595200000000006
2019-01-23,2019-01-27,STANDARD CLASS,SG-20605,CONSUMER,USA,LAFAYETTE,IN,CENTRAL,OFF-FA-10003467,OFFICE SUPPLIES,FASTENERS,"ALLIANCE BIG BANDS RUBBER BANDS, 12/PACK",0.0,17.82
2019-01-23,2019-01-28,STANDARD CLASS,IM-15055,CONSUMER,USA,LAS VEGAS,NV,WEST,OFF-PA-10001804,OFFICE SUPPLIES,PAPER,XEROX 195,19.2384,240.48
2019-01-26,2019-01-31,STANDARD CLASS,SD-20485,HOME OFFICE,USA,ALEXANDRIA,VA,SOUTH,OFF-PA-10000380,OFFICE SUPPLIES,PAPER,"REDIFORM INCOMING/OUTGOING CALL REGISTER, 11"" X 8 1/2"", 100 MESSAGES",8.34,33.36
2019-01-26,2019-01-29,FIRST CLASS,CA-11965,CORPORATE,USA,RAPID CITY,SD,CENTRAL,FUR-BO-10004409,FURNITURE,BOOKCASES,"SAFCO VALUE MATE SERIES STEEL BOOKCASES, BAKED ENAMEL FINISH ON STEEL, GRAY",39.7488,283.92
2019-01-27,2019-02-02,STANDARD CLASS,EJ-13720,CONSUMER,USA,SAN DIEGO,CA,WEST,OFF-ST-10003692,OFFICE SUPPLIES,STORAGE,RECYCLED STEEL PERSONAL FILE FOR HANGING FILE FOLDERS,14.3075,57.23
